sensor_id,order,train_mse,val_mse,test_mse,val_mape,test_mape,val_mae,test_mae
176,"(2, 1, 2)",0.0004716916787196692,97866.51706255531,39285.07820682315,551.3505712244738,238.03511866712702,275.7724521588755,163.565193723869
177,"(2, 1, 2)",0.00045926808441063563,66952.07353887429,27858.430473717395,1977082467.9372497,1363327155.8185673,228.35368176785786,139.1754928758388
178,"(2, 1, 2)",0.0006989552267623885,69757.8611693468,27050.89840976845,592.9620688955979,231.36925597870209,234.2995599849034,135.53446384918928
179,"(2, 1, 2)",0.00045926808441063563,66952.07353887429,27858.430473717395,1977082467.9372497,1363327155.8185673,228.35368176785786,139.1754928758388
180,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
181,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
182,"(2, 1, 2)",0.0034858304070947877,7713.893170140076,4092.4697465524537,98.37375975175455,54.16079691246855,79.60230176135778,50.1378090190041
183,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
184,"(2, 1, 2)",0.0012571933799875954,13171.035859650905,5714.489258137364,767181497.2511584,60.033125601530934,101.02639058569548,64.4086711562481
185,"(2, 1, 2)",0.0015963281256117868,14487.686326188248,7152.343337753117,173.83562390208982,87.39998511798035,106.78634488493834,70.54729172882004
186,"(2, 1, 2)",0.004595517708745095,9008.070235436922,6106.92217031574,289.1358316771675,156.87176084792148,81.9648474637686,62.8682105360752
187,"(2, 1, 2)",0.0028228235540152763,22205.229240314075,13114.293416907722,431.94027915347573,195.8942921522828,130.87114930706838,92.52352322221104
188,"(2, 1, 2)",0.005991715133576392,18892.005558988803,9541.5380485153,160017252.2861728,116.93724659330123,120.43758451888013,81.15089770594285
189,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
190,"(2, 1, 2)",0.0020913798654627843,7264.69144654114,5048.063853449499,146.65480462275727,364123640.1374169,75.13830604888534,56.86468867496665
191,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
192,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
193,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
194,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
195,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
